person_id,start_frame,end_frame,num_frames,total_dist_m,avg_instant_speed_m_s,max_speed_m_s,min_speed_m_s,total_time_s,avg_traj_speed_m_s
1,1,194,194,9.643331500127417,0.8763218134316334,3.3805998633889587,0.10512352866284988,3.2365666666666666,0.8763218134316335
2,1,22,22,1.3177733601721624,1.0559814732103423,4.439374979804544,0.06837030105731065,0.3670333333333333,1.0559814732103423
3,1,40,40,7.806035721183817,3.440398889867699,18.100165198830997,0.24172412998536055,0.6673333333333333,3.440398889867699
4,1,254,236,34.05049733301898,2.543605248168007,49.1741943359375,0.15639352447846358,4.237566666666667,2.3633497581403526
6,1,255,234,38.02549934981714,2.864819897283496,78.07161218979779,0.08994404883945688,4.25425,2.6288935528013258
7,1,179,165,25.66028471506983,2.741673803743832,22.978897094726562,0.07800071555025435,2.9863166666666667,2.527241215741521
61,21,26,6,0.8047505668461322,2.3645488830173718,9.032430087818819,0.3405342382543227,0.1001,2.3645488830173713
84,36,36,1,0.1722839727719624,3.037268133724437,3.037268133724437,3.037268133724437,0.0166833333333333,3.0372681337244365
91,42,98,40,12.063903399305543,5.316993329893141,22.382574642405793,0.293973281103022,0.95095,3.731223389398695
92,43,75,20,6.65175269078811,5.863330220474918,23.06194305419922,0.6472502736484304,0.55055,3.553533466954495
97,46,233,132,30.513763658710072,4.075304863413334,39.26746144014246,0.05318064900005565,3.1364666666666667,2.8613842658008517
114,58,59,2,0.2615216984033585,2.305239158518174,3.7697191799388214,0.840759137097527,0.0333666666666666,2.305239158518174
141,77,100,24,3.676452997944752,2.7005736895051657,8.118172813864316,0.300480232519262,0.4004,2.7005736895051653
179,98,125,21,5.730204215626915,4.810487173017668,20.083229962517233,0.2549302577972412,0.4671333333333333,3.607865379763251
229,118,171,54,9.209227612614631,3.0065449624279745,13.701323340920842,0.19267818507026224,0.9009,3.006544962427974
233,122,130,9,1.5870643330335616,3.1087820670183968,6.075523039873909,1.0340238318723791,0.15015,3.1087820670183968
242,126,576,367,84.91195653812588,4.078881042252789,124.23723108628218,0.08243353051297804,7.524183333333333,3.3191781430305403
266,150,462,298,49.27073120449956,2.9148150233796732,85.5722494686351,0.057591397096129,5.221883333333333,2.7751274024509347
270,152,155,4,0.4601137080997228,2.0278855325544582,3.0311859355253334,0.21950414952109842,0.0667333333333333,2.027885532554458
275,157,178,20,4.510444156255325,3.975827839444666,23.13469606287339,0.31026142485001507,0.3670333333333333,3.6143889449496966
295,166,180,15,1.574125116310517,1.8500618397020827,4.098035868476419,0.3860110745710485,0.25025,1.8500618397020825
297,167,375,183,37.691757727451126,3.6310611016226906,58.95107493681066,0.03797065685777103,3.486816666666667,3.1793501511815903
310,171,180,10,1.513577022576332,2.6683499252094944,5.537240084479837,0.1389481039608226,0.1668333333333333,2.6683499252094944
319,173,190,18,2.164101565564672,2.1195486528811114,4.759083355174345,0.14861266402637258,0.3003,2.119548652881111
354,196,223,25,4.338766984810432,3.059599448652828,9.116867850808536,0.49478092614342195,0.4671333333333333,2.731785222011454
369,199,245,47,2.800430874482418,1.050425497337113,3.8278689103967998,0.028503074803773086,0.7841166666666667,1.050425497337113
411,228,230,3,0.3340745911399523,1.9631814722921335,3.2596748015459847,0.611037436653586,0.05005,1.9631814722921332
416,231,412,151,13.587717335239924,1.5863821416495374,49.735865873448994,0.02625502865104112,3.036366666666667,1.3161741944454952
428,235,498,264,48.28638174735581,3.224474839822999,25.374443951775046,0.010174000087906325,4.4044,3.224474839822999
464,253,286,28,4.969836202387016,3.129120586799974,9.456413493436926,0.32111301141626697,0.5672333333333334,2.576922836188214
468,256,273,4,3.2935616568962733,14.515903171371011,35.0261329202091,1.7604672207551844,0.3003,3.2257562603046694
485,268,308,25,4.168314286845923,2.9394000965006213,16.014063218060663,0.10691721649730905,0.6840166666666667,1.792317132012574
516,287,301,14,3.180746712120374,4.005339255853862,8.68803809670841,0.2407822188209085,0.25025,3.7383166387969364
558,309,415,106,21.90300974947388,3.642807206579305,43.60076455508962,0.06104569224750295,1.785116666666667,3.608762279415013
559,309,313,5,0.7178106984078885,2.53091860518736,4.261185141170726,0.566150896689471,0.0834166666666666,2.5309186051873604
564,310,313,4,0.7598627515157064,3.348986681769876,4.388208950267119,2.5313439088709213,0.0667333333333333,3.3489866817698757
569,314,387,35,3.784055665936073,1.9060212053170726,13.127991171444165,0.1282332925235524,1.2345666666666666,0.9014965160283451
577,315,323,9,1.8783103388706843,3.679282166599448,7.919082080616671,0.8811845498926499,0.15015,3.679282166599448
594,322,356,35,4.570557747081915,2.3021807169713893,6.737031936645508,0.3231636916889864,0.5839166666666666,2.3021807169713893
602,330,333,4,0.6611547025442124,2.9139450367759263,4.989712098065545,0.6285736140082865,0.0667333333333333,2.9139450367759263
649,356,377,20,2.26010247451365,1.992215849897441,5.285037545596852,0.26327699422836304,0.3670333333333333,1.8111053180885828
676,411,414,4,0.2389301684578259,1.0530506337390226,1.2637749840231502,0.9494245052337646,0.0667333333333333,1.0530506337390226
696,385,457,68,10.961530390947065,2.841845971748078,19.086817573098575,0.22441076881745284,1.2178833333333334,2.647198987381772
702,386,399,14,1.5483133248478174,1.9497057457431024,4.390245325425092,0.2528382925426259,0.2335666666666666,1.9497057457431024
761,427,695,229,47.6288239776738,3.666676809782085,76.98478249942555,0.0731572464985006,4.487816666666666,3.121446057398132
762,430,702,231,50.84415809570501,3.8803181612661604,194.52789306640625,0.0730927551493925,4.55455,3.283346136455982
795,462,517,46,5.162966686902443,1.9786990580656338,11.316860423368567,0.04752072341301862,0.9342666666666668,1.6253599405539136
797,463,669,203,20.00240096661548,1.7370981061779842,17.255563174977024,0.15578988720388973,3.45345,1.7035309930151246
803,476,500,17,5.148755740624667,5.339389752764191,26.928592008702896,0.5218899600646075,0.4170833333333333,3.63078503187965
822,479,572,89,19.69706468047301,3.901663045574322,143.43518425436582,0.2543710259830251,1.5682333333333334,3.6941277771927097
828,482,595,93,13.151633299306036,2.4930730179319798,20.301437377929688,0.2121693071197061,1.9019,2.0338227251550363
832,483,488,6,0.6082390206893284,1.7871511450000839,4.838330324958353,0.6085641945109648,0.1001,1.7871511450000834
867,503,533,31,4.298353001737595,2.444435830812979,6.948986053466797,0.18319087869980757,0.5171833333333333,2.444435830812979
